time,target_id,target_x,target_y,target_vx,target_vy,target_detected,target_last_known_x,target_last_known_y,target_last_known_vx,target_last_known_vy
-1,0,50.0,35.0,3.9244251251220703,-0.7738782167434692,False,50.0,35.0,3.9244251251220703,-0.7738782167434692
-1,1,30.0,65.0,2.5930423736572266,-3.0456740856170654,False,30.0,65.0,2.5930423736572266,-3.0456740856170654
-1,2,70.0,65.0,3.874756097793579,0.9931087493896484,False,70.0,65.0,3.874756097793579,0.9931087493896484
0,0,53.7265510559082,33.54644775390625,3.7265517711639404,-1.4535516500473022,False,53.7265510559082,33.54644775390625,3.7265517711639404,-1.4535516500473022
0,1,32.334632873535156,61.75200271606445,2.3346340656280518,-3.2479968070983887,False,32.334632873535156,61.75200271606445,2.3346340656280518,-3.2479968070983887
0,2,71.17437744140625,61.1762809753418,1.174378514289856,-3.8237202167510986,False,71.17437744140625,61.1762809753418,1.174378514289856,-3.8237202167510986
1,0,57.453102111816406,32.0928955078125,3.7265517711639404,-1.4535515308380127,True,57.453102111816406,32.0928955078125,3.7265517711639404,-1.4535515308380127
1,1,34.66926574707031,58.504005432128906,2.33463454246521,-3.2479968070983887,False,34.66926574707031,58.504005432128906,2.33463454246521,-3.2479968070983887
1,2,72.3487548828125,57.352561950683594,1.174378514289856,-3.8237199783325195,False,72.3487548828125,57.352561950683594,1.174378514289856,-3.8237199783325195
2,0,61.17965316772461,30.63934326171875,3.7265515327453613,-1.4535512924194336,True,61.17965316772461,30.63934326171875,3.7265515327453613,-1.4535512924194336
2,1,37.003902435302734,55.25600814819336,2.3346352577209473,-3.2479960918426514,False,37.003902435302734,55.25600814819336,2.3346352577209473,-3.2479960918426514
2,2,73.52313232421875,53.52884292602539,1.174378514289856,-3.8237197399139404,False,73.52313232421875,53.52884292602539,1.174378514289856,-3.8237197399139404
3,0,64.90620422363281,29.185792922973633,3.7265517711639404,-1.4535510540008545,True,64.90620422363281,29.185792922973633,3.7265517711639404,-1.4535510540008545
3,1,39.051570892333984,52.40724563598633,-3.813478708267212,1.2072203159332275,False,39.051570892333984,52.40724563598633,-3.813478708267212,1.2072203159332275
3,2,74.697509765625,49.70512390136719,1.1743786334991455,-3.8237199783325195,False,74.697509765625,49.70512390136719,1.1743786334991455,-3.8237199783325195
4,0,68.63275909423828,27.732242584228516,3.7265520095825195,-1.4535512924194336,True,68.63275909423828,27.732242584228516,3.7265520095825195,-1.4535512924194336
4,1,42.088863372802734,55.01009750366211,3.0372939109802246,2.602853298187256,False,42.088863372802734,55.01009750366211,3.0372939109802246,2.602853298187256
4,2,75.87188720703125,45.881404876708984,1.1743788719177246,-3.8237199783325195,False,75.87188720703125,45.881404876708984,1.1743788719177246,-3.8237199783325195
5,0,72.35931396484375,26.278690338134766,3.7265515327453613,-1.4535518884658813,True,72.35931396484375,26.278690338134766,3.7265515327453613,-1.4535518884658813
5,1,45.126155853271484,57.61294937133789,3.0372936725616455,2.6028530597686768,False,45.126155853271484,57.61294937133789,3.0372936725616455,2.6028530597686768
5,2,77.0462646484375,42.05768585205078,1.1743789911270142,-3.8237199783325195,False,77.0462646484375,42.05768585205078,1.1743789911270142,-3.8237199783325195
6,0,76.08586883544922,24.825138092041016,3.7265512943267822,-1.4535526037216187,True,76.08586883544922,24.825138092041016,3.7265512943267822,-1.4535526037216187
6,1,48.163448333740234,60.21580123901367,3.0372939109802246,2.602853298187256,False,48.163448333740234,60.21580123901367,3.0372939109802246,2.602853298187256
6,2,78.22064208984375,38.23396682739258,1.1743791103363037,-3.8237197399139404,True,78.22064208984375,38.23396682739258,1.1743791103363037,-3.8237197399139404
7,0,77.3418197631836,24.335248947143555,-0.03621614724397659,-3.999835968017578,True,77.3418197631836,24.335248947143555,-0.03621614724397659,-3.999835968017578
7,1,51.200740814208984,62.81865310668945,3.0372941493988037,2.602853536605835,False,51.200740814208984,62.81865310668945,3.0372941493988037,2.602853536605835
7,2,79.39501953125,34.410247802734375,1.174379587173462,-3.8237197399139404,True,79.39501953125,34.410247802734375,1.174379587173462,-3.8237197399139404
8,0,74.53028106689453,27.180463790893555,-2.8115391731262207,2.84521484375,True,74.53028106689453,27.180463790893555,-2.8115391731262207,2.84521484375
8,1,54.238033294677734,65.4215087890625,3.0372939109802246,2.602853298187256,False,54.238033294677734,65.4215087890625,3.0372939109802246,2.602853298187256
