time,event,uav_id,area_id,target_id,detector_uav_id,tracker_uav_id,reason
113,tracking_update,,,1.0,,2.0,
114,tracking_update,,,1.0,,2.0,
115,tracking_update,,,1.0,,2.0,
116,tracking_update,,,1.0,,2.0,
117,tracking_update,,,0.0,,1.0,
117,tracking_update,,,1.0,,2.0,
118,tracking_update,,,0.0,,1.0,
118,tracking_update,,,1.0,,2.0,
119,tracking_update,,,0.0,,1.0,
119,tracking_update,,,1.0,,2.0,
120,tracking_update,,,0.0,,1.0,
120,tracking_update,,,1.0,,2.0,
121,tracking_update,,,0.0,,1.0,
121,tracking_update,,,1.0,,2.0,
122,tracking_update,,,0.0,,1.0,
122,tracking_update,,,1.0,,2.0,
123,tracking_update,,,0.0,,1.0,
124,tracking_update,,,0.0,,1.0,
125,tracking_update,,,0.0,,1.0,
126,tracking_update,,,0.0,,1.0,
127,tracking_update,,,0.0,,1.0,
128,tracking_update,,,0.0,,1.0,
129,tracking_update,,,0.0,,1.0,
130,tracking_update,,,0.0,,1.0,
131,tracking_update,,,0.0,,1.0,
131,tracking_update,,,1.0,,2.0,
132,tracking_update,,,0.0,,1.0,
132,tracking_update,,,1.0,,2.0,
133,tracking_update,,,2.0,,0.0,
133,tracking_update,,,0.0,,1.0,
133,tracking_update,,,1.0,,2.0,
134,tracking_update,,,2.0,,0.0,
134,tracking_update,,,0.0,,1.0,
134,tracking_update,,,1.0,,2.0,
135,tracking_update,,,2.0,,0.0,
135,tracking_update,,,0.0,,1.0,
135,tracking_update,,,1.0,,2.0,
136,tracking_update,,,2.0,,0.0,
136,tracking_update,,,0.0,,1.0,
136,tracking_update,,,1.0,,2.0,
137,tracking_update,,,2.0,,0.0,
137,tracking_update,,,0.0,,1.0,
138,tracking_update,,,2.0,,0.0,
138,tracking_update,,,0.0,,1.0,
139,tracking_update,,,2.0,,0.0,
139,tracking_update,,,0.0,,1.0,
140,tracking_update,,,2.0,,0.0,
140,tracking_update,,,0.0,,1.0,
141,tracking_update,,,2.0,,0.0,
141,tracking_update,,,0.0,,1.0,
142,tracking_update,,,0.0,,1.0,
150,tracking_update,,,2.0,,0.0,
151,tracking_update,,,2.0,,0.0,
152,tracking_update,,,2.0,,0.0,
153,tracking_update,,,2.0,,0.0,
154,tracking_update,,,2.0,,0.0,
155,tracking_update,,,2.0,,0.0,
156,tracking_update,,,2.0,,0.0,
157,tracking_update,,,2.0,,0.0,
158,tracking_update,,,2.0,,0.0,
180,tracking_update,,,1.0,,2.0,
181,tracking_update,,,1.0,,2.0,
182,tracking_update,,,1.0,,2.0,
183,tracking_update,,,1.0,,2.0,
184,tracking_update,,,1.0,,2.0,
199,tracking_update,,,0.0,,1.0,
199,tracking_update,,,1.0,,2.0,
200,tracking_update,,,0.0,,1.0,
200,tracking_update,,,1.0,,2.0,
201,tracking_update,,,0.0,,1.0,
201,tracking_update,,,1.0,,2.0,
202,tracking_update,,,0.0,,1.0,
202,tracking_update,,,1.0,,2.0,
203,tracking_update,,,0.0,,1.0,
203,tracking_update,,,1.0,,2.0,
204,tracking_update,,,2.0,,0.0,
204,tracking_update,,,0.0,,1.0,
204,tracking_update,,,1.0,,2.0,
205,tracking_update,,,2.0,,0.0,
205,tracking_update,,,0.0,,1.0,
205,tracking_update,,,1.0,,2.0,
206,tracking_update,,,2.0,,0.0,
206,tracking_update,,,0.0,,1.0,
206,tracking_update,,,1.0,,2.0,
207,tracking_update,,,2.0,,0.0,
207,tracking_update,,,0.0,,1.0,
208,tracking_update,,,2.0,,0.0,
208,tracking_update,,,0.0,,1.0,
209,tracking_update,,,2.0,,0.0,
209,tracking_update,,,0.0,,1.0,
210,tracking_update,,,0.0,,1.0,
211,tracking_update,,,0.0,,1.0,
212,tracking_update,,,0.0,,1.0,
213,tracking_update,,,0.0,,1.0,
214,tracking_update,,,0.0,,1.0,
215,tracking_update,,,0.0,,1.0,
217,tracking_update,,,1.0,,2.0,
218,tracking_update,,,1.0,,2.0,
219,tracking_update,,,1.0,,2.0,
220,tracking_update,,,1.0,,2.0,
221,tracking_update,,,1.0,,2.0,
222,tracking_update,,,1.0,,2.0,
223,tracking_update,,,1.0,,2.0,
224,tracking_update,,,1.0,,2.0,
225,tracking_update,,,1.0,,2.0,
226,tracking_update,,,1.0,,2.0,
227,tracking_update,,,1.0,,2.0,
228,tracking_update,,,0.0,,1.0,
228,tracking_update,,,1.0,,2.0,
229,tracking_update,,,0.0,,1.0,
229,tracking_update,,,1.0,,2.0,
230,tracking_update,,,0.0,,1.0,
230,tracking_update,,,1.0,,2.0,
231,tracking_update,,,0.0,,1.0,
231,tracking_update,,,1.0,,2.0,
232,tracking_update,,,0.0,,1.0,
232,tracking_update,,,1.0,,2.0,
233,tracking_update,,,0.0,,1.0,
233,tracking_update,,,1.0,,2.0,
234,tracking_update,,,0.0,,1.0,
234,tracking_update,,,1.0,,2.0,
235,tracking_update,,,0.0,,1.0,
235,tracking_update,,,1.0,,2.0,
236,tracking_update,,,0.0,,1.0,
237,tracking_update,,,0.0,,1.0,
238,tracking_update,,,0.0,,1.0,
239,tracking_update,,,0.0,,1.0,
240,tracking_update,,,0.0,,1.0,
241,tracking_update,,,0.0,,1.0,
242,tracking_update,,,0.0,,1.0,
243,tracking_update,,,0.0,,1.0,
