mode,episode,total_reward,steps,success,final_info
search,46,2.566203686714174,67,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,47,2.21476975107193,63,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,48,3.005923785686493,125,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,49,1.6869609017372134,66,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,50,0.8776237297058103,119,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,51,2.8520267672538764,101,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,52,2.822277195453643,95,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,53,2.8669851636886596,49,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,54,0.9555856952667234,73,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,55,2.286064536094666,49,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,56,2.657786914825439,67,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,57,2.7594537916183466,46,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,58,2.910682324886322,39,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,59,3.242298147201538,91,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,60,3.438112922191619,66,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,61,2.8403978257179268,72,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,62,2.5524422664642334,93,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,63,2.903795613765718,67,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,64,2.492710137844087,53,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,65,2.400778950214386,73,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,66,3.0092563710212707,77,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,67,2.3625706181526187,54,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,68,2.59021801662445,84,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,69,3.0197346434593206,91,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,70,2.7382139716148375,109,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,71,2.9461392540931706,135,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,72,2.9734741792678836,68,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,73,2.699454985618592,55,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,74,2.8908242549896244,75,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,75,1.998385554790497,79,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,76,3.009120829582214,53,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,77,3.008821050167083,83,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,78,2.503944966793061,60,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,79,2.9646522917747493,114,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,80,3.110531354904175,109,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,81,2.761929578781128,44,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,82,2.9096470694541945,63,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,83,2.9482963633537294,66,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,84,3.0896805610656743,69,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,85,2.9164016346931465,71,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,86,3.6002557806968687,86,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,87,2.777063478946686,44,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,88,2.8268206319808966,50,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,89,3.1492787399291995,54,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,90,3.198503756046295,61,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,91,2.907678507804871,40,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,92,3.090178012847901,53,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,93,2.560735529899597,38,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,94,2.909287822246551,93,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,95,3.0540794610977176,60,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,96,2.7399952807426455,54,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,97,3.124166738986969,57,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,98,2.392720160961151,82,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,99,4.12257115650177,99,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,100,4.055260991573332,119,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,101,3.4750647964477546,74,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,102,3.206378907203675,55,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,103,4.146233995437623,127,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,104,4.084361635208131,117,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,105,4.211005743026732,120,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,106,3.4836083006858827,74,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,107,3.015375109195709,61,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,108,3.5545615968704216,81,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,109,3.6835038790702823,90,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,110,2.902061493873596,54,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,111,2.8773546810150146,69,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,112,3.4863221783637997,90,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,113,3.0941272864341736,58,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,114,3.449407330513,72,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,115,3.4402099761962885,85,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,116,3.7733998022079485,79,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,117,3.2873184561729434,87,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,118,3.0022108354568484,52,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,119,3.8126805291175847,116,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,120,2.831310059070587,62,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,121,3.1011004776954647,70,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,122,2.962065210819244,73,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,123,3.523665001392365,85,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,124,2.9492903003692637,96,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,125,3.146540359020234,62,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,126,3.75449339580536,105,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,127,2.9481256055831913,51,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,128,3.5579973678588868,75,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,129,3.569220463275911,90,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,130,3.995592762470244,94,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,131,2.7789649806022645,46,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,132,3.2988991641998293,71,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,133,3.119512518405914,71,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,134,3.387707823753356,80,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,135,4.170831444740296,100,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,136,3.757264906883241,93,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,137,3.4330193500518797,64,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,138,3.616154998779297,90,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,139,3.1081735382080082,53,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,140,3.7757991065979013,96,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,141,3.3618153920173643,70,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,142,3.9573592300415035,100,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,143,3.599458541393279,90,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,144,3.6387431707382207,78,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,145,4.106029786109923,99,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,146,3.1501387772560117,61,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,147,3.5036591734886167,87,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,148,3.592001085758209,94,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,149,4.610683773040773,133,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,150,3.528053159236908,69,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,151,3.0545213146209713,51,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,152,3.3847132291793827,64,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,153,3.2231357645988474,64,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,154,3.228611539363862,71,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,155,3.497341485977172,76,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,156,3.3606690301895146,67,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,157,4.1165119037628175,110,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,158,3.716690089702606,86,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,159,3.4957033615112314,82,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,160,3.9687779035568242,106,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,161,2.8544507417678826,38,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,162,4.02950188446045,104,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,163,2.9214232053756715,68,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,164,4.1549953641891495,110,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,165,3.4699921345710747,60,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,166,3.0739523501396184,53,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,167,2.9302188019752498,46,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,168,4.095385886192322,132,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,169,3.928062864780427,122,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,170,3.5140517563819884,100,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,171,3.4267835144996646,80,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,172,3.0781772136688237,65,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,173,4.307653745651244,111,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,174,3.780123687267302,105,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,175,3.7977670626640307,109,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,176,3.136775274276733,66,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,177,3.0886812105178834,63,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,178,3.611922310352325,87,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,179,3.7010371975898755,112,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,180,3.097334803104401,47,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,181,4.295072700500488,116,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,182,4.2383274540901175,117,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,183,3.9469720358848566,100,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,184,4.319808403015138,120,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,185,2.7695990409851072,55,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,186,2.9590658168792725,53,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,187,3.8822210578918472,91,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,188,2.9055868759155272,52,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,189,3.974015242099762,126,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,190,5.602853233814235,194,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,191,5.436666187286381,173,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,192,4.753088500499723,171,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,193,3.9571858706474297,114,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,194,3.5475507812499982,72,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,195,4.809181417465208,146,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,196,3.6848139395713804,98,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,197,3.166728943824769,57,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,198,3.9227689528465257,104,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,199,4.059544656276701,111,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,200,4.536340688228607,200,False,"{'coverage': 0.5555555555555556, 'new_cells': 0, 'success': False, 'in_search': True, 'in_op': True}"
search,201,3.821449439048767,96,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,202,3.7120221877098105,80,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,203,4.99287136220932,145,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,204,3.699317500114443,96,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
search,205,2.794033766269684,38,True,"{'coverage': 0.6111111111111112, 'new_cells': 1, 'success': True, 'in_search': True, 'in_op': True}"
